epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9034949541091919,0.2512441575527191,0.001,0.9445446133613586,0.13096828758716583
1,0.9709131717681885,0.08622168004512787,0.001,0.9675382971763611,0.09389496594667435
2,0.9671927690505981,0.08649005740880966,0.001,0.9603246450424194,0.11093640327453613
3,0.986696720123291,0.042116742581129074,0.001,0.9697926044464111,0.11370602995157242
4,0.9841037392616272,0.04575128108263016,0.001,0.9720469117164612,0.08914312720298767
5,0.9913190603256226,0.0261368565261364,0.001,0.9679892063140869,0.09600699692964554
6,0.9915445446968079,0.023280968889594078,0.001,0.9576194882392883,0.15312275290489197
7,0.9976324439048767,0.009733973070979118,0.0005,0.9765554666519165,0.0786561593413353
